Problem,Agent's Answer,Correct?,Correct Answer
Basic Problem D-01,3,Correct,3
Basic Problem D-02,1,Correct,1
Basic Problem D-03,3,Correct,3
Basic Problem D-04,1,Correct,1
Basic Problem D-05,5,Incorrect,7
Basic Problem D-06,1,Correct,1
Basic Problem D-07,3,Incorrect,1
Basic Problem D-08,4,Correct,4
Basic Problem D-09,4,Incorrect,3
Basic Problem D-10,4,Incorrect,1
Basic Problem D-11,3,Correct,3
Basic Problem D-12,6,Incorrect,3
Basic Problem E-01,5,Incorrect,1
Basic Problem E-02,1,Incorrect,7
Basic Problem E-03,2,Correct,2
Basic Problem E-04,3,Incorrect,8
Basic Problem E-05,3,Incorrect,5
Basic Problem E-06,5,Incorrect,8
Basic Problem E-07,4,Incorrect,3
Basic Problem E-08,4,Incorrect,1
Basic Problem E-09,3,Incorrect,7
Basic Problem E-10,8,Correct,8
Basic Problem E-11,7,Incorrect,5
Basic Problem E-12,4,Incorrect,6
